title,creator,product_type,category,description,price_cents,is_free,is_published,featured,tags,cover_url,linked_release_id
Always,ØLSTEN,Album,Music,Test album product connected to the existing release,0,true,true,true,"{music,album,free}",,
SOMA,44 CORPORATION,Game,Games,First-person puzzle game built around copying and pasting object states,1499,false,true,true,"{game,puzzle,interactive}",,
ELSEWHERE MYTH VOL. 1,44 CORPORATION,Book,Books,First volume of world lore and myth material,1299,false,true,false,"{book,lore}",,
AMBIENT STUDIES VOL. 1,ØLSTEN,Sample Pack,Sample Packs,Ambient textures loops and source recordings,999,false,true,false,"{music,samples,ambient,production}",,
44 LOGO HOODIE,44 CORPORATION,Apparel,Apparel,Heavyweight black hoodie with the 44 mark,6500,false,true,false,"{apparel,hoodie,merch}",,
GHOST,ØLSTEN,Album,Music,Free catalog album for testing library ownership and discovery,0,true,true,false,"{music,electronic,experimental,free}",,
MYTHOLOGY VOL. I,44 CORPORATION,Interactive Experience,Interactive,Browser-native lore experience for exploring a myth system,0,true,true,true,"{interactive,lore,experimental}",,
TOUCH PATCH: PARTICLES 01,lvminvs.,Tool,Tools,Reactive particle patch for visual performance workflows,1900,false,true,false,"{tool,visuals,touchdesigner,interactive}",,
EVERYTHING BEFORE,ØLSTEN,Album,Music,Archival music product for testing older catalog entries,0,true,true,false,"{music,archive,album,free}",,
FIELD NOTES 01,44 CORPORATION,Book,Books,Compact digital field guide for early 44 worlds symbols and systems,700,false,true,false,"{book,lore,digital}",,
NIGHT SHIFT,44 CORPORATION,Game,Games,Small first-person mystery prototype set inside a building that keeps changing,0,true,true,false,"{game,mystery,prototype,free}",,
ØLSTEN LIVE ROOM,ØLSTEN,Interactive Experience,Interactive,Web-based room for unreleased sketches visual loops and album fragments,0,true,true,true,"{interactive,music,world,free}",,
DRUM MACHINES 44,lvminvs.,Sample Pack,Sample Packs,Dry drum machine hits processed loops and performance-ready one shots,1200,false,true,false,"{samples,drums,production}",,
SYSTEM TEE,44 CORPORATION,Apparel,Apparel,Black heavyweight tee with a small front mark and oversized back print,3800,false,true,false,"{apparel,t-shirt,merch}",,
VISUAL PATCH: SIGNAL 02,lvminvs.,Tool,Tools,Signal-reactive visual patch for live sets and browser-based installations,2400,false,true,false,"{tool,visuals,live}",,
